T1_Tank_1	T1_Tank_2	T1_Tank_3	T1_Tank_4	T1_Tank_5	T1_Tank_6	T1_Tank_7	T1_Tank_8	T1_Tank_9	T1_Tank_10	T2_Tank_1	T2_Tank_2	T2_Tank_3	T2_Tank_4	T2_Tank_5	T2_Tank_6	T2_Tank_7	T2_Tank_8	T2_Tank_9	T2_Tank_10	T3_Tank_1	T3_Tank_2	T3_Tank_3	T3_Tank_4	T3_Tank_5	T3_Tank_6	T3_Tank_7	T3_Tank_8	T3_Tank_9	T3_Tank_10	T3_EM1	T3_Lambda
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_101	6	5	1	0	0	0	0	3	0	1	5	3	6	0	2	1	1	8	1	1	2	1	7	1	6	0	1	1	1	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_102	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_103	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_104	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_105	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_106	2	6	0	2	1	0	1	0	0	0	3	2	2	1	2	0	0	3	1	1	0	0	2	0	0	0	0	0	0	2	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_107	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_109	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_110	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_112	5	2	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_113	2	0	0	0	2	0	2	0	1	0	0	1	19	0	1	3	0	2	1	1	2	2	6	1	3	0	7	0	0	1	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_114	6	16	3	12	1	1	0	2	1	2	6	14	2	4	1	5	8	15	2	8	4	4	1	2	1	0	6	0	2	3	0	0
Bacteria_Actinobacteria_Actinobacteriia_Corynebacteriales_Mycobacteriaceae___OTU_115	0	2	3	3	0	0	1	6	1	1	3	1	2	1	1	1	4	5	1	1	2	2	2	0	1	0	0	1	0	2	0	0
